2029(4428), 5980(1506)
2261(11261), 8930(8354)
1003(7868), 7845(1416)
6139(5789), 4590(1329)
1933(10738), 4349(3747)
8736(8219), 1157(5269)
7394(9443), 7734(4704)
9951(9580), 4003(154)
7351(6123), 5454(2658)
9526(11708), 479(8914)
8690(6009), 6565(3193)
7827(10100), 9506(18)
7138(7292), 5458(1121)
7138(7293), 5458(1122)
2234(12856), 6163(107)
1564(8570), 4820(1898)
5324(15929), 6690(1187)
234(14814), 9732(229)
9680(5702), 9885(2499)
7431(8802), 2178(2025)
3295(15023), 3182(2924)
5522(7267), 9570(5490)
9570(5490), 8392(991)
7712(13642), 2804(8664)
2804(8664), 6537(7544)
5965(21665), 9983(3357)
5965(21664), 9983(3356)
2478(4810), 1974(989)
5100(15383), 7850(7222)
3092(8508), 1778(4712)
5775(5719), 7969(329)
5013(3368), 2119(1396)
6253(11153), 7401(2818)
2990(6322), 6217(2980)
3753(5276), 4724(4952)
59(649), 4386(617)
5044(6174), 8243(4865)
7917(10088), 3890(8729)
3314(8215), 6093(4928)
7600(7416), 6821(6750)
9512(12615), 5716(8114)
8342(12489), 5413(11591)
8342(12490), 5413(11592)
418(5292), 91(4795)
9022(8870), 6509(6385)
8147(6282), 3529(3669)
5832(4756), 3006(225)
7190(4013), 9659(528)
5416(16652), 3551(8617)
3551(8617), 5346(6140)
9168(14231), 6159(8895)
6940(4121), 4388(3200)
6909(1966), 3422(889)
2501(5406), 5623(489)
370(11034), 7564(74)
4783(15349), 1600(8914)
9708(3833), 6464(1514)
7483(10451), 4831(6082)
7735(9234), 1996(1130)
6261(3530), 3455(835)
8070(18651), 8388(5818)
9158(3561), 8987(3028)
9158(3560), 8987(3027)
8987(3027), 3946(1496)
3013(11062), 6973(2736)
3518(11919), 7051(7295)
2666(8601), 9686(8006)
3125(6756), 6942(4675)
2994(14947), 4678(3968)
9784(10798), 7634(10380)
138(2696), 184(754)
7077(12855), 2451(10871)
2451(10871), 340(5864)
917(8775), 9910(189)
917(8777), 9910(191)
2661(10519), 507(412)
2214(14080), 1819(4870)
